'name','description','fee_recipient','seller_fee_basis_points','image','external_url','attributes','hash','FileNameWithoutExt'
'BiT #13232','BiT #13232 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/13232.png','','[{"trait_type":"Frame","value":"Common Chocolate"},{"trait_type":"Background","value":"Rare Panty Pink"},{"trait_type":"Holy Smoke","value":"Common Orange Sift"},{"trait_type":"Darkness And Light","value":"Common Light And Dark"},{"trait_type":"Bit","value":"Common Lolypop"},{"trait_type":"Cock Ring","value":"Emerald Relic"},{"trait_type":"Cum Shot","value":"Rare Fountain"}]','19bf9edde3c34fb9e714c9e9ee37702a','13232'
'BiT #16030','BiT #16030 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/16030.png','','[{"trait_type":"Frame","value":"Common Corroded"},{"trait_type":"Background","value":"Common Atomik Yellow"},{"trait_type":"Holy Smoke","value":"Common Orange Sift"},{"trait_type":"Darkness And Light","value":"Legendary Void"},{"trait_type":"Bit","value":"Common Lolypop"},{"trait_type":"Cock Ring","value":"Rare Flamboyant Orange"},{"trait_type":"Cum Shot","value":"Come On Relic"}]','fd6102d25fad64649a2d3aa372a50e83','16030'
'BiT #13662','BiT #13662 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/13662.png','','[{"trait_type":"Frame","value":"Common Corroded"},{"trait_type":"Background","value":"Crimson Red Relic"},{"trait_type":"Holy Smoke","value":"Legendary Euphoria Blue"},{"trait_type":"Darkness And Light","value":"Rare Black Corners"},{"trait_type":"Bit","value":"Common Lolypop"},{"trait_type":"Cock Ring","value":"Emerald Relic"},{"trait_type":"Cum Shot","value":"Common Right Handed"}]','308e3bc641855765d66c4f3d3e429656','13662'
'BiT #12970','BiT #12970 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/12970.png','','[{"trait_type":"Frame","value":"Celestial Boreal Green"},{"trait_type":"Background","value":"Common Atomik Yellow"},{"trait_type":"Holy Smoke","value":"Common Orange Sift"},{"trait_type":"Darkness And Light","value":"Common Light And Dark"},{"trait_type":"Bit","value":"Legendary Zombi"},{"trait_type":"Cock Ring","value":"Common Cool Gray"},{"trait_type":"Cum Shot","value":"Come On Relic"}]','27c4205a0c09caee58d7a2d01ec93612','12970'
'BiT #16460','BiT #16460 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/16460.png','','[{"trait_type":"Frame","value":"Common Corroded"},{"trait_type":"Background","value":"Common Atomik Yellow"},{"trait_type":"Holy Smoke","value":"Common Orange Sift"},{"trait_type":"Darkness And Light","value":"Common Light And Dark"},{"trait_type":"Bit","value":"Purr Pull Relic Bit"},{"trait_type":"Cock Ring","value":"Rare Vert De Gris"},{"trait_type":"Cum Shot","value":"Common Right Handed"}]','e20a0a104cc04ef2548ddfa061a7176e','16460'
'BiT #13398','BiT #13398 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/13398.png','','[{"trait_type":"Frame","value":"Legendary Royal Blue"},{"trait_type":"Background","value":"Rare Panty Pink"},{"trait_type":"Holy Smoke","value":"Rare Lily Myst"},{"trait_type":"Darkness And Light","value":"Rare Black Corners"},{"trait_type":"Bit","value":"Rare Miss Piggy Bit"},{"trait_type":"Cock Ring","value":"Rare Flamboyant Orange"},{"trait_type":"Cum Shot","value":"Common Point Blanc"}]','6070061c7f4ae7c00aa700d87c413de5','13398'
'BiT #19795','BiT #19795 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/19795.png','','[{"trait_type":"Frame","value":"Leviathan Purple Relic"},{"trait_type":"Background","value":"Common Alpha Blue"},{"trait_type":"Holy Smoke","value":"Common Rosee"},{"trait_type":"Darkness And Light","value":"Rare Black Corners"},{"trait_type":"Bit","value":"Common Lolypop"},{"trait_type":"Cock Ring","value":"Rare Vert De Gris"},{"trait_type":"Cum Shot","value":"Common Right Handed"}]','da31e1d8b1c9214b59266bc128398c5b','19795'
'BiT #18887','BiT #18887 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/18887.png','','[{"trait_type":"Frame","value":"Rare Abyss Blue"},{"trait_type":"Background","value":"Common Atomik Yellow"},{"trait_type":"Holy Smoke","value":"Rare Lily Myst"},{"trait_type":"Darkness And Light","value":"Common Green Dream"},{"trait_type":"Bit","value":"Rare Miss Piggy Bit"},{"trait_type":"Cock Ring","value":"Emerald Relic"},{"trait_type":"Cum Shot","value":"Common Point Blanc"}]','332138892ecb60ad4e1dcfd95baa4464','18887'
'BiT #12423','BiT #12423 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/12423.png','','[{"trait_type":"Frame","value":"Rare Deep Magenta"},{"trait_type":"Background","value":"Legendary Papaya Pink"},{"trait_type":"Holy Smoke","value":"Rare Lily Myst"},{"trait_type":"Darkness And Light","value":"Rare Black Corners"},{"trait_type":"Bit","value":"Reddick Relic Bit"},{"trait_type":"Cock Ring","value":"Lavender Relic"},{"trait_type":"Cum Shot","value":"Legendary Fireman"}]','ffed1673113ae333ffe7c3c59feb2b51','12423'
'BiT #17621','BiT #17621 - BiT #1 - Slang for penis Bit Is a vulgar inside joke... Bit in french is slang for penis... So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto, crypto grows.  ','0x9Ae966E27df789AbeB8471ee3596731Bf00081ed','666','https://opensea.io/collection/bit-69/17621.png','','[{"trait_type":"Frame","value":"Leviathan Purple Relic"},{"trait_type":"Background","value":"Common Atomik Yellow"},{"trait_type":"Holy Smoke","value":"Mellow Yellow Relic"},{"trait_type":"Darkness And Light","value":"Legendary Void"},{"trait_type":"Bit","value":"Rare Miss Piggy Bit"},{"trait_type":"Cock Ring","value":"Rare Flamboyant Orange"},{"trait_type":"Cum Shot","value":"Common Right Handed"}]','913291dbb37bcd8f0edf0d8d0042c9e7','17621'
